Reynolds number..........  5.3909E+05
Karman number............  2.1878E+04
Friction factor..........  1.3176E-02
Average velocity (m/s)...  2.2840E+01
Maximum velocity (m/s)...  2.6768E+01
Friction velocity (m/s)..  9.2691E-01
Pressure drop (Pa/m)..... -8.9248E+01
Correlation coefficient.. -0.99999473
Pressure (Pa)............  2.8720E+05
Temperature (K)..........  2.9804E+02
Density (kg/m3)..........  3.3595E+00
Compressibility factor...  9.9943E-01
Viscosity (N-sec/m2).....  1.8413E-05
Diameter (m).............  1.2936E-01

ys/R            rs/R            udef            y+              u+  
 6.9727E-03      9.9303E-01      1.2968E+01      7.6273E+01      1.5911E+01  
 7.6637E-03      9.9234E-01      1.2663E+01      8.3833E+01      1.6216E+01  
 8.5120E-03      9.9149E-01      1.2411E+01      9.3113E+01      1.6468E+01  
 9.4859E-03      9.9051E-01      1.2204E+01      1.0377E+02      1.6675E+01  
 1.0648E-02      9.8935E-01      1.1987E+01      1.1648E+02      1.6892E+01  
 1.1999E-02      9.8800E-01      1.1697E+01      1.3126E+02      1.7182E+01  
 1.3601E-02      9.8640E-01      1.1473E+01      1.4878E+02      1.7406E+01  
 1.5455E-02      9.8455E-01      1.1112E+01      1.6906E+02      1.7767E+01  
 1.7591E-02      9.8241E-01      1.0778E+01      1.9243E+02      1.8101E+01  
 2.0105E-02      9.7990E-01      1.0413E+01      2.1992E+02      1.8466E+01  
 2.3027E-02      9.7697E-01      1.0191E+01      2.5189E+02      1.8688E+01  
 2.6419E-02      9.7358E-01      9.8462E+00      2.8899E+02      1.9033E+01  
 3.0409E-02      9.6959E-01      9.5226E+00      3.3264E+02      1.9356E+01  
 3.5058E-02      9.6494E-01      9.0552E+00      3.8350E+02      1.9824E+01  
 4.0461E-02      9.5954E-01      8.7572E+00      4.4261E+02      2.0122E+01  
 4.6745E-02      9.5326E-01      8.4298E+00      5.1134E+02      2.0449E+01  
 5.4065E-02      9.4593E-01      8.0539E+00      5.9141E+02      2.0825E+01  
 6.2610E-02      9.3739E-01      7.6981E+00      6.8489E+02      2.1181E+01  
 7.2537E-02      9.2746E-01      7.2963E+00      7.9348E+02      2.1583E+01  
 8.4099E-02      9.1590E-01      6.9728E+00      9.1995E+02      2.1906E+01  
 9.7575E-02      9.0242E-01      6.5815E+00      1.0674E+03      2.2297E+01  
 1.1325E-01      8.8675E-01      6.2567E+00      1.2389E+03      2.2622E+01  
 1.3150E-01      8.6850E-01      5.8475E+00      1.4385E+03      2.3031E+01  
 1.5277E-01      8.4723E-01      5.4471E+00      1.6712E+03      2.3432E+01  
 1.7753E-01      8.2247E-01      5.0977E+00      1.9420E+03      2.3781E+01  
 2.0637E-01      7.9363E-01      4.7013E+00      2.2574E+03      2.4178E+01  
 2.3995E-01      7.6005E-01      4.2335E+00      2.6247E+03      2.4645E+01  
 2.7903E-01      7.2097E-01      3.8627E+00      3.0523E+03      2.5016E+01  
 3.2455E-01      6.7545E-01      3.3866E+00      3.5502E+03      2.5492E+01  
 3.7754E-01      6.2246E-01      2.9302E+00      4.1299E+03      2.5949E+01  
 4.3937E-01      5.6063E-01      2.4961E+00      4.8062E+03      2.6383E+01  
 5.0120E-01      4.9880E-01      1.9644E+00      5.4825E+03      2.6914E+01  
 5.6302E-01      4.3698E-01      1.5825E+00      6.1589E+03      2.7296E+01  
 6.2485E-01      3.7515E-01      1.2311E+00      6.8352E+03      2.7648E+01  
 6.8667E-01      3.1332E-01      9.1839E-01      7.5115E+03      2.7960E+01  
 7.4850E-01      2.5150E-01      5.9441E-01      8.1878E+03      2.8284E+01  
 8.1033E-01      1.8967E-01      3.5608E-01      8.8641E+03      2.8523E+01  
 8.5671E-01      1.4329E-01      2.2694E-01      9.3715E+03      2.8652E+01  
 9.0307E-01      9.6925E-02      1.1452E-01      9.8787E+03      2.8764E+01  
 9.3398E-01      6.6020E-02      4.6193E-02      1.0217E+04      2.8833E+01  
 9.6490E-01      3.5099E-02      2.1019E-02      1.0555E+04      2.8858E+01  
 9.9581E-01      4.1936E-03      9.3756E-03      1.0893E+04      2.8869E+01  
 1.0267E+00      -.2673E-01      5.6337E-03      1.1231E+04      2.8873E+01  
 1.0576E+00      -.5763E-01      2.9387E-02      1.1569E+04      2.8849E+01  
 1.0886E+00      -.8855E-01      5.5173E-02      1.1908E+04      2.8824E+01  
 1.1349E+00      -.1349E+00      1.5698E-01      1.2415E+04      2.8722E+01  
 1.1813E+00      -.1813E+00      2.8615E-01      1.2922E+04      2.8593E+01  
 1.2431E+00      -.2431E+00      4.9458E-01      1.3598E+04      2.8384E+01  
 1.3049E+00      -.3049E+00      7.7566E-01      1.4275E+04      2.8103E+01  
 1.3668E+00      -.3668E+00      1.0800E+00      1.4951E+04      2.7799E+01  
 1.4286E+00      -.4286E+00      1.4528E+00      1.5627E+04      2.7426E+01  
 1.4904E+00      -.4904E+00      1.8309E+00      1.6304E+04      2.7048E+01  
