ACT Code	High School	State	Active
980265	EDUCATION CTR	AE	N
980275	ARMY EDUCATION CENTER NSA	AE	Y
980276	ARMY EDUCATION CTR	AE	Y
980277	ARMY EDUCATION CTR	AE	N
980278	COMMANDER USMCA	AE	Y
980282	ARMY EDUCATION CTR	AE	N
980283	ARMY EDUCATION CTR	AE	N
980293	ARMY EDUCATION CTR	AE	N
980297	ARMY EDUCATION CENTER	AE	Y
980635	EDUCATION SERVICES	AE	N
980712	EDUCATION OFFICER	AE	N
980714	EDUCATION OFFICE	AE	N
980717	SEMBACH EDUCATION CENTER	AE	Y
980718	EDUCATION OFFICE	AE	Y
980720	EDUCATION SERVICE OFFICER	AE	Y
980721	EDUCATION OFFICER	AE	Y
980724	EDUCATION OFFICE	AE	N
980732	AIR FORCE EDUCATION OFFICE	AE	N
980901	OFFICER IN CHARGE	AE	Y
980935	COMMANDING OFFICER	AE	Y
980940	NAVY COLLEGE OFFICE	AE	N
980950	COMMANDING OFFICER	AE	N
981004	EDUCATION OFFICE	AE	N
981006	NAVAL SUPPORT ACTIVITY	AE	N
981007	LEARNING RESOURCE CTR	AE	N
981010	DANTES EUROPEAN REPRESENTATIVE	AE	N
981019	ARMY EDUCATION CENTER	AE	Y
981033	ARMY EDUCATION CTR	AE	N
981046	ARMY EDUCATION CTR	AE	N
981047	AF EDUCATION OFFICE	AE	Y
981059	COMMANDING OFFICER	AE	N
981063	EDUCATION OFFICE	AE	Y
981068	EDUCATION OFFICE	AE	N
981072	EDUCATION OFFICER	AE	Y
981073	ARMY EDUCATION CTR	AE	N
981083	ARMY EDUCATION CTR	AE	N
981087	AIR FORCE EDUCATION CTR	AE	N
981089	AIR FORCE EDUCATION OFFICE	AE	N
981090	EDUCATION OFFICER	AE	Y
981096	EDUCATION CENTER	AE	Y
981111	ARMY EDUCATION CTR	AE	N
981116	EDUCATION OFFICE	AE	N
981125	EDUCATION OFFICE	AE	Y
981128	EDUCATION OFFICE	AE	Y
981132	AIR FORCE EDUCATION OFFICE	AE	N
981133	KLEBER EDUCATION CTR	AE	N
981135	COMMANDING OFFICER	AE	N
981138	AIR FORCE EDUCATION CTR	AE	N
981149	EDUCATION OFFICER	AE	Y
981150	COMMANDING OFFICER	AE	N
981153	EDUCATION SERVICES	AE	N
981158	COMMANDING OFFICER	AE	N
981160	COMMANDING OFFICER	AE	Y
981175	ARMY EDUCATION CTR	AE	Y
981183	EDUCATION OFFICE	AE	Y
981202	ARMY EDUCATION CENTER	AE	N
981240	COMMANDING OFFICER	AE	N
981246	COMMANDING OFFICER	AE	N
981263	COMMANDING OFFICER	AE	N
981284	COMMANDING OFFICER	AE	N
981285	ARMY EDUCATION CENTER	AE	N
981286	ARMY EDUCATION CTR	AE	N
981297	ARMY EDUCATION CENTER	AE	N
981318	NAVAL SUPPORT ACTIVITY	AE	N
981333	US NATIONAL SUPPORT ELEMENT	AE	N
981351	ARMY EDUCATION CTR	AE	N
981357	NAVY COLLEGE OFFICE	AE	N
981371	US NAVAL SECURITY GROUP ACT	AE	Y
981376	NAVY COLLEGE OFFICE	AE	N
981379	NAVY COLLEGE OFFICE	AE	N
981395	NAVY COLLEGE OFFICE	AE	N
981407	COMMANDING OFFICER	AE	N
981408	COMMANDING OFFICER	AE	N
981411	ARMY EDUCATION CTR	AE	N
981421	ARMY EDUCATION CTR	AE	N
981423	ABRAMS EDUCATION CENTER	AE	Y
981425	CDR UNDERSEA SURVEILLANCE	AE	Y
981493	PIRINCLIK AIR STATION TU	AE	Y
981508	COMMANDING OFFICER	AE	N
981523	ARMY EDUCATION CTR	AE	N
981564	COMMANDING OFFICER	AE	N
981583	ARMY EDUCATION CENTER	AE	Y
981628	COMMANDING OFFICER	AE	Y
981680	TECHNICAL LIAISON OFFICE	AE	Y
981715	EDUCATION OFFICER	AE	N
981769	AIR FORCE EDUCATION OFFICE	AE	N
981772	COMMANDING OFFICER	AE	N
981796	EDUCATION CENTER DIRECTOR	AE	Y
981808	COMMANDING OFFICER	AE	Y
981820	EDUCATION OFFICE	AE	Y
981826	COMMANDING OFFICER	AE	N
981913	EDUCATION OFFICER	AE	Y
981919	EDUCATION CTR	AE	Y
982072	US NAVAL AIR STATION	AE	Y
982161	COMMANDING OFFICER	AE	N
982257	COMMANDING OFFICER	AE	Y
982269	COMMANDING OFFICER	AE	Y
982384	COMMANDING OFFICER	AE	Y
982389	ARMY EDUCATION CENTER	AE	N
982432	ARMY EDUCATION CENTER	AE	N
982848	COMMANDING OFFICER	AE	Y
983334	MENWITH HILL STATION	AE	N
983343	EDUCATION OFFICER	AE	Y
983401	NAVY COLLEGE OFFICE	AE	N
983496	ARMY EDUCATION CTR	AE	N
984054	COMMANDING OFFICER	AE	Y
984060	EDUCATION CTR	AE	N
985611	COMMANDING OFFICER	AE	N
986390	AIR FORCE EDUCATION CTR	AE	Y
986502	EDUCATION OFFICER	AE	N
986533	NAVY COLLEGE	AE	N
986759	COMMANDING OFFICER	AE	N
987417	COMMANDING OFFICER	AE	N
020000	WEST ANCHORAGE HIGH SCHOOL	AK	N
020001	BARTLETT HIGH SCHOOL	AK	N
020002	EAST ANCHORAGE HIGH SCHOOL	AK	N
020003	A J DIMOND HIGH SCHOOL	AK	N
020004	ROBERT SERVICE HIGH SCHOOL	AK	N
020005	BETHEL REGIONAL HIGH SCHOOL	AK	N
020006	HARVESTER CHRISTIAN ACADEMY	AK	Y
020007	STELLER SECONDARY SCHOOL	AK	N
020008	ANCHORAGE CHRISTIAN ACADEMY	AK	Y
020009	ANDERSON VILLAGE SCHOOL	AK	N
020011	BARROW HIGH SCHOOL	AK	N
020012	ANCHORAGE CHRISTIAN SCHOOLS	AK	N
020013	ANGOON HIGH SCHOOL	AK	N
020014	RESURRECTION CHRISTIAN ACADEMY	AK	Y
020015	CORDOVA JR-SR HIGH SCHOOL	AK	N
020016	KENNY LAKE SCHOOL	AK	N
020017	AMBLER SCHOOL	AK	N
020018	ABBOTT LOOP CHRISTIAN SCHOOL	AK	Y
020019	BUCKLAND SCHOOL	AK	N
020020	CRAIG HIGH SCHOOL	AK	N
020021	MULDOON CHRISTIAN SCHOOL	AK	Y
020022	DEERING SCHOOL	AK	N
020023	DELTA HIGH SCHOOL	AK	N
020024	AKHIOK SCHOOL	AK	N
020025	DILLINGHAM HIGH SCHOOL	AK	N
020026	ALAKANUK HIGH SCHOOL	AK	N
020027	EMMONAK HIGH SCHOOL	AK	N
020028	WEST VALLEY HIGH SCHOOL	AK	N
020029	NORTH POLE HIGH SCHOOL	AK	N
020031	CHUGIAK HIGH SCHOOL	AK	N
020032	ARMY EDUCATION CENTER	AK	N
020033	BEN EIELSON HIGH SCHOOL	AK	N
020034	HOWARD LUKE ACADEMY	AK	N
020035	AUSTIN E LATHROP HIGH SCHOOL	AK	N
020036	FORT YUKON HIGH SCHOOL	AK	N
020037	MONROE CATHOLIC JR-SR HS	AK	N
020039	GLENNALLEN SCHOOL	AK	N
020040	HAINES HIGH SCHOOL	AK	N
020041	TRI-VALLEY SCHOOL	AK	N
020042	GUSTAVUS SECONDARY SCHOOL	AK	N
020044	GALENA CITY SCHOOL	AK	N
020045	HOMER HIGH SCHOOL	AK	N
020046	HAMILTON ACRES BAPTIST SCHOOL	AK	N
020047	KACHEMAK CHRISTIAN SCHOOLS	AK	Y
