<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  FRANK SMITH ELEMENTARY SCHOOL                 8312

EAST NEWARK SCHOOL DISTRICT                   122683
  EAST NEWARK PUBLIC SCHOOL                     6629

EAST ORANGE SCHOOL DISTRICT                   122663
  CICELY TYSON SCHOOL                           6585
  CLIFFORD J SCOTT HIGH SCHOOL                  6574
  DIONNE WARWICK INSTITUTE                      6590
  EAST ORANGE HIGH SCHOOL                       6576
  ECOLE TOUSSAINT LOUVERTURE SCH                6589
  GEORGE WASHINGTON CARVER INST                 6578
  GORDON PARKS ACADEMY                          6580
  J GARFIELD JACKSON SR ACADEMY                 6569
  JOHN L COSTLEY MIDDLE SCHOOL                  6571
  JOHNNIE L COCHRAN JR ACADEMY                  6564
  LANGSTON HUGHES SCHOOL                        6586
  MILDRED BARRY GARVIN SCHOOL                   6579
  PATRICK FRANCIS HEALY MID SCH                 6572
  SOJOURNER TRUTH MIDDLE SCHOOL                 6573
  WASHINGTON ACADEMY OF MUSIC                   6582
  WHITNEY E HOUSTON ACADEMY                     6567

EAST RUTHERFORD SCHOOL DIST                   122743
  ALFRED S FAUST INTER ELEM SCH                 6932
  FRANKLIN ELEMENTARY SCHOOL                    6933
  MCKENZIE ELEMENTARY SCHOOL                    6935

EAST WINDSOR REGIONAL SCH DIST                123431
  BLACK ELEMENTARY SCHOOL                       9173
  DREW ELEMENTARY SCHOOL                        9174
  HIGHTSTOWN HIGH SCHOOL                        9171
  KREPS MIDDLE SCHOOL                           9247
  MCKNIGHT ELEMENTARY SCHOOL                    9166
  ROGERS ELEMENTARY SCHOOL                      9172

EASTAMPTON TWP SCHOOL DISTRICT                123238
  EASTAMPTON ELEMENTARY SCHOOL                  8648
  EASTAMPTON MIDDLE SCHOOL                      8647

EASTERN CAMDEN COUNTY REGIONAL SCHOOL         123208
  EASTERN SENIOR HIGH SCHOOL                    8546

EATONTOWN BOARD OF EDUCATION                  122986
  MARGARET L VETTER ELEM SCHOOL                 7930
  MEADOWBROOK ELEMENTARY SCHOOL                 7932
  MEMORIAL ELEMENTARY SCHOOL                    7931
  WOODMERE ELEMENTARY SCHOOL                    7929

EDGEWATER PARK SCHOOL DISTRICT                123165
  MAGOWAN ELEMENTARY SCHOOL                     8422
  SAMUEL M RIDGWAY MIDDLE SCHOOL                8423

EDGEWATER SCHOOL DISTRICT                     122667
  ELEANOR VAN GELDER SCHOOL                     6591

EDISON TWP SCHOOL DISTRICT                    123515
  BENJAMIN FRANKLIN ELEM SCHOOL                 9541
  EDISON HIGH SCHOOL                            9537
  HERBERT HOOVER MIDDLE SCHOOL                  9602
  JAMES MADISON INTER SCHOOL                    9548
  JAMES MADISON PRIMARY SCHOOL                  9542
  JAMES MONROE ELEMENTARY SCHOOL                9601
  JOHN ADAMS MIDDLE SCHOOL                      9545
  JOHN MARSHALL ELEMENTARY SCH                  9534
  LINCOLN ELEMENTARY SCHOOL                     9538
  LINDENAU ELEMENTARY SCHOOL                    9539
  MARTIN LUTHER KING ELEM SCHOOL                9544
  MENLO PARK ELEMENTARY SCHOOL                  9553
  STEVENS HIGH SCHOOL                           9549
  THOMAS JEFFERSON MIDDLE SCHOOL                9535
  WASHINGTON ELEMENTARY SCHOOL                  9532
  WOODBROOK ELEMENTARY SCHOOL                   9551
  WOODROW WILSON MIDDLE SCHOOL                  9552

EGG HARBOR CITY SCHOOL DIST                   123353
  RITTENBERG ELEMENTARY SCHOOL                  8950
  SPRAGG ELEMENTARY SCHOOL                      8952

EGG HARBOR TWP SCHOOL DISTRICT                123364
  CLAYTON DAVENPORT ELEM SCHOOL                 8986
  EGG HARBOR TWP HIGH SCHOOL                    8990
  EGG HARBOR TWP INTER SCHOOL                   8988
  EGG HARBOR TWP MIDDLE SCHOOL                  8989
  SLAYBAUGH ELEMENTARY SCHOOL                   8991
  SWIFT ELEMENTARY SCHOOL                       8992

ELIZABETH SCHOOL DISTRICT                     122796
  BATTIN MIDDLE SCHOOL 75                       7253
  BUTLER ELEMENTARY SCHOOL 23                   7300
  CLEVELAND MIDDLE SCHOOL 70                    7286
  COLUMBUS ELEMENTARY SCHOOL 15                 7262
  ELIZABETH HIGH SCHOOL                         7256
  ELMORA ELEMENTARY SCHOOL 12                   7299
  FRANKLIN ELEMENTARY SCHOOL 13                 7294
  HALLORAN ELEMENTARY SCHOOL 22                 7247
  HAMILTON MIDDLE SCHOOL 72                     7304
  HOLMES MIDDLE SCHOOL 71                       7287
  LAFAYETTE ELEMENTARY SCHOOL 06                7234
  LAFAYETTE MIDDLE SCHOOL 73                    7235
  LINCOLN ELEMENTARY SCHOOL 14                  7243
  MADISON-MONROE ELEM SCHOOL 16                 7236
  MARSHALL ELEMENTARY SCHOOL 20                 7288
  MORRIS ELEMENTARY SCHOOL 18                   7307
  MRAVLAG ELEMENTARY SCHOOL 21                  7296
  PETERSTOWN ELEMENTARY SCH 03                  7261
  ROOSEVELT ELEM SCHOOL 17                      7244
  ROOSEVELT MIDDLE SCHOOL                       7245
  SCOTT ELEMENTARY SCHOOL 02                    7240
  WASHINGTON ELEMENTARY SCHOOL 1                7293
  WILSON ELEMENTARY SCHOOL 19                   7248

ELK TOWNSHIP SCHOOL DISTRICT                  123190
  AURA ELEMENTARY SCHOOL                        8491

ELMER SCHOOL DISTRICT                         123393
  ELMER ELEMENTARY SCHOOL                       9049

ELMWOOD PARK SCHOOL DISTRICT                  122809
  GANTNER AVENUE ELEM SCHOOL                    7415
  GILBERT AVENUE ELEM SCHOOL                    7412
  MEMORIAL JR-SR HIGH SCHOOL                    7413
  MEMORIAL MIDDLE SCHOOL                        7414
  SIXTEENTH AVENUE ELEM SCHOOL                  7411

ELSINBORO TOWNSHIP SCHOOL DIST                123268
  ELSINBORO TOWNSHIP ELEM SCHOOL                8724

EMERSON BD OF EDUC                            122909
  EMERSON JR-SR HIGH SCHOOL                     7727
  MEMORIAL ELEMENTARY SCHOOL                    7728
  PATRICK VILLANO ELEM SCHOOL                   7730

ENGLEWOOD CLIFFS SCHOOL DIST                  122913
  ENGLEWOOD CLIFFS UPPER SCHOOL                 7744
  NORTHCLIFF ELEMENTARY SCHOOL                  7743

ENGLEWOOD SCHOOL DISTRICT                     122911
  CLEVELAND ELEMENTARY SCHOOL                   7736
  DISMUS MIDDLE SCHOOL                          7731
  DONALD A QUARLES ELEM SCHOOL                  7732
  DWIGHT MORROW HIGH SCHOOL                     7735
  LINCOLN ELEMENTARY SCHOOL                     7734

ESSEX COUNTY VOCATIONAL SCHOOL                122665
  BLOOMFIELD VOCATIONAL SCHOOL                  6480
  NORTH 13TH STREET VOC SCHOOL                  7149
  WEST CALDWELL VOC SCHOOL                      6503

ESSEX FELLS SCHOOL DISTRICT                   122669
  ESSEX FELLS ELEMENTARY SCHOOL                 6594

ESTELL MANOR SCHOOL DISTRICT                  123396
  ESTELL MANOR ELEMENTARY SCHOOL                9053

EVESHAM TWP SCHOOL DISTRICT                   123221
  BEELER ELEMENTARY SCHOOL                      8594
  EVANS ELEMENTARY SCHOOL                       8589
  FRANCES DEMASI ELEMENTARY SCH                 8600
  FRANCES DEMASI MIDDLE SCHOOL                  8601
  JAGGARD ELEMENTARY SCHOOL                     8596
  MARLTON ELEMENTARY SCHOOL                     8597
  MARLTON MIDDLE SCHOOL                         8598
  RICHARD L RICE ELEMENTARY SCH                 8599
  VAN ZANT ELEMENTARY SCHOOL                    8592

EWING TOWNSHIP SCHOOL DISTRICT                123457
  EWING HIGH SCHOOL                             9290
  FISHER MIDDLE SCHOOL                          9289
  FRANCIS LORE ELEMENTARY SCHOOL                9322
  PARKWAY ELEMENTARY SCHOOL                     9291
  WILLIAM L ANTHIEL ELEM SCHOOL                 9332

FAIR HAVEN SCHOOL DISTRICT                    122969
  KNOLLWOOD ELEMENTARY SCHOOL                   7886
  SICKLES ELEMENTARY SCHOOL                     7885

FAIR LAWN PUBLIC SCHOOL DIST                  122812
  FAIR LAWN HIGH SCHOOL                         7418
  FORREST ELEMENTARY SCHOOL                     7419
  JEFFERSON MIDDLE SCHOOL                       7428
  LYNCREST ELEMENTARY SCHOOL                    7420
  MEMORIAL SCHOOL                               7421
  MILNES ELEMENTARY SCHOOL                      7426
  RADBURN ELEMENTARY SCHOOL                     7427
  WARREN POINT ELEMENTARY SCHOOL                7425
  WESTMORELAND ELEMENTARY SCHOOL                7423

FAIRFIELD BOARD OF ED.                        122642
  CHURCHILL ELEMENTARY SCHOOL                   6486
  STEVENSON ELEMENTARY SCHOOL                   6484

FAIRFIELD TWP PUBLIC SCHOOLS                  123387
  FAIRFIELD TWP MIDDLE SCHOOL                   9040
  FAIRFIELD TWP PRIMARY SCHOOL                  9039

FAIRVIEW SCHOOL DISTRICT                      122670
  LINCOLN ELEMENTARY SCHOOL                     6595
  NUMBER 03 ELEMENTARY SCHOOL                   6596

FARMINGDALE SCHOOL DISTRICT                   122993
  FARMINGDALE ELEMENTARY SCHOOL                 7950

FLEMINGTON-RARITAN REG DIST                   123518
  BARLEY SHEAF ELEM SCHOOL                      9559
  FRANCIS DESMARES ELEM SCHOOL                  9560
  READING FLEMING MIDDLE SCHOOL                 9557
  ROBERT HUNTER ELEM SCHOOL                     9558

FLORENCE TOWNSHIP SCHOOL DIST                 123430
  FLORENCE TOWNSHIP MEM HIGH SCH                9164
  FLORENCE TOWNSHIP MIDDLE SCH                  9165
  MARCELLA L DUFFY ELEM SCHOOL                  9163
  ROEBLING ELEMENTARY SCHOOL                    9237

FLORHAM PARK SCHOOL DISTRICT                  123132
  BRIARWOOD ELEMENTARY SCHOOL                   8301
  BROOKLAKE ELEMENTARY SCHOOL                   8302
  RIDGEDALE MIDDLE SCHOOL                       8303

FOLSOM SCHOOL DISTRICT                        123205
  FOLSOM ELEMENTARY SCHOOL                      8539

FORT LEE SCHOOL DISTRICT                      122674
  FORT LEE HIGH SCHOOL                          6605
  FORT LEE NUMBER 1 ELEM SCHOOL                 6604
  FORT LEE NUMBER 2 ELEM SCHOOL                 6601
  FORT LEE NUMBER 3 ELEM SCHOOL                 6602
  FORT LEE NUMBER 4 ELEM SCHOOL                 6599
  LEWIS F COLE MIDDLE SCHOOL                    6600

FRANKFORD TWP SCHOOL DISTRICT                 123051
  FRANKFORD TWP ELEM SCHOOL                     8130

FRANKLIN LAKES SCHOOL DISTRICT                122815
  FRANKLIN AVE MIDDLE SCHOOL                    7434
  HIGH MOUNTAIN ROAD ELEM SCHOOL                7437
  WOODSIDE AVE ELEM SCHOOL                      7435

FRANKLIN SCHOOL DISTRICT                      122813
  FRANKLIN ELEMENTARY SCHOOL                    7431

FRANKLIN TOWNSHIP BOE                         123567
  FRANKLIN TOWNSHIP ELEM SCHOOL                 9717

FRANKLIN TWP ELEM SCHOOL DIST                 123106
  FRANKLIN TOWNSHIP ELEM SCHOOL                 8243

FRANKLIN TWP PUBLIC SCHOOLS                   123399
  CAROLINE L REUTTER ELEM SCHOOL                9057
  LAKE  SCHOOL                                  9084
  MAIN ROAD ELEMENTARY SCHOOL                   9085
  MARY S JANVIER ELEM SCHOOL                    9056

FRANKLIN TWP SCHOOL DISTRICT                  123572
  CONERLY ROAD ELEMENTARY SCHOOL                9729
  ELIZABETH AVE ELEMENTARY SCH                  9724
  FRANKLIN PARK ELEMENTARY SCH                  9563
  FRANKLIN TOWNSHIP HIGH SCHOOL                 9733
  HILLCREST ELEMENTARY SCHOOL                   9734
  KINGSTON ELEMENTARY SCHOOL                    9189
  MACAFEE ELEMENTARY SCHOOL                     9732
  PINE GROVE MANOR ELEM SCHOOL                  9727
  SAMPSON G SMITH INTER SCHOOL                  9731

FREDON TWP SCHOOL DISTRICT                    123081
  FREDON TWP ELEMENTARY SCHOOL                  8187

FREEHOLD BOROUGH SCHOOL DIST                  122997
  FREEHOLD LEARNING CENTER                      7961
  INTERMEDIATE MIDDLE SCHOOL                    7958
  PARK AVENUE ELEM SCHOOL                       7959

FREEHOLD REG HIGH SCHOOL DIST                 122990
  DR JACOB LEWIS CENTER                         7969
  FREEHOLD HIGH SCHOOL                          7957
  FREEHOLD TWP HIGH SCHOOL                      7966
  HOWELL HIGH SCHOOL                            7953
  MANALAPAN HIGH SCHOOL                         7943
  MARLBORO HIGH SCHOOL                          8041

FREEHOLD TWP SCHOOL DISTRICT                  122999
  APPLEGATE ELEMENTARY SCHOOL                   7965
  BARKALOW ELEMENTARY SCHOOL                    7963
  BURLINGTON ROAD ELEM SCHOOL                   7967
  DONOVAN ELEMENTARY SCHOOL                     7964
  EISENHOWER JR HIGH SCHOOL                     7968
  ERRICKSON ELEMENTARY SCHOOL                   7954
  WEST FREEHOLD ELEM SCHOOL                     7962

FRELINGHUYSEN TWP SCHOOL DIST                 123070
  FRELINGHUYSEN TWP ELEM SCHOOL                 8165

FRENCHTOWN SCHOOL DISTRICT                    123522
  EDITH ORT THOMAS ELEM SCHOOL                  9569

GALLOWAY TWP SCHOOL DISTRICT                  123339
  ARTHUR RANN MIDDLE SCHOOL                     8920
  COLOGNE ELEMENTARY SCHOOL                     8947
  POMONA ELEMENTARY SCHOOL                      8995
  REEDS ROAD ELEMENTARY SCHOOL                  8918
  ROLAND ROGERS ELEMENTARY SCH                  8915
  SMITHVILLE ELEMENTARY SCHOOL                  8975
  SOUTH EGG HARBOR ELEM SCHOOL                  8951

GARFIELD SCHOOL DISTRICT                      122676
  COLUMBUS ELEMENTARY SCHOOL                    6613
  GARFIELD HIGH SCHOOL                          6611
  LINCOLN ELEMENTARY SCHOOL                     6615
  ROOSEVELT ELEMENTARY SCHOOL                   6609
  THOMAS JEFFERSON MIDDLE SCHOOL                6610
  WASHINGTON IRVING ELEM SCHOOL                 6617
  WOODROW WILSON ELEMENTARY SCH                 6612

GARWOOD SCHOOL DISTRICT                       122678
  WASHINGTON ELEMENTARY SCHOOL                  6619

GATEWAY REGIONAL HIGH SCHOOL DISTRICT         123316
  GATEWAY REG HIGH SCHOOL                       8818

GIBBSBORO SCHOOL DISTRICT                     123185
  GIBBSBORO SCHOOL                              8480

GLASSBORO PUBLIC SCHOOL DIST                  123189
   HARVEY RODGERS ELEMENTARY SCHOOL             8488
  BOWE ELEMENTARY SCHOOL                        8484
  DOROTHY BULLOCK ELEMENTARY SCHOOL             8489
  ELSMERE SCHOOL                                8485
  GLASSBORO HIGH SCHOOL                         8486
  GLASSBORO INTERMEDIATE SCHOOL                 8487

GLEN RIDGE SCHOOL DISTRICT                    122680
  FOREST AVENUE ELEMENTARY SCH                  6622
  GLEN RIDGE HIGH SCHOOL                        6620
  GLEN RIDGE MIDDLE SCHOOL                      6621
  LINDEN AVENUE ELEMENTARY SCH                  6623

GLEN ROCK SCHOOL DISTRICT                     122844
  CENTRAL ELEMENTARY SCHOOL                     7513
  CLARA E COLEMAN ELEM SCHOOL                   7518
  GLEN ROCK MIDDLE SCHOOL                       7515
  RICHARD E BYRD ELEM SCHOOL                    7514

GLOUCESTER CITY SCHOOL DIST                   123192
  GLOUCESTER CITY JR-SR HIGH SCH                8493
  MARY E COSTELLO ELEMENTARY SCH                8494

GLOUCESTER CO. INST. OF TECH                  123274
  GLOUCESTER CO VOC-TECH H S                    8733

GLOUCESTER TWP SCHOOL DISTRICT                123168
  BLACKWOOD ELEMENTARY SCHOOL                   8433
  CHARLES W LEWIS MIDDLE SCHOOL                 8424
  CHEWS ELEMENTARY SCHOOL                       8439
  ERIAL ELEMENTARY SCHOOL                       8744
  GLEN LANDING MIDDLE SCHOOL                    8437
  GLENDORA ELEMENTARY SCHOOL                    8492
  GLOUCESTER TWP ELEMENTARY SCH                 8432
  GRENLOCH SCHOOL                               8425
  JAMES W LILLEY JR ELEM SCHOOL                 8749
  LORING-FLEMMING ELEMENTARY SCH                8438

GREAT MEADOWS REG SCHOOL DIST                 123062
  CENTRAL SCHOOL                                8150

GREATER EGG HARBOR REG HS DIST                 123406
  ABSEGAMI HIGH SCHOOL                          8922
  OAKCREST HIGH SCHOOL                          9069

GREEN BROOK TWP SCHOOL DIST                   123510
  IRENE E FELDKIRCHNER ELEM SCH                 9514

GREEN TOWNSHIP BOARD OF EDUCATION             123063
  GREEN HILLS ELEMENTARY SCHOOL                 8151

GREENWICH TOWNSHIP SCHOOL DIST                123400
  MORRIS GOODWIN ELEM SCHOOL                    9058
  BROADSTREET ELEMENTARY SCHOOL                 8481
  NEHAUNSEY MIDDLE SCHOOL                       8482
  STEWARTSVILLE ELEMENTARY SCH                  9775

GUTTENBERG SCHOOL DISTRICT                    122769
  ANNE KLEIN SCHOOL                             7047

HACKENSACK SCHOOL DISTRICT                    122884
  FAIRMOUNT ELEMENTARY SCHOOL                   7672
  HACKENSACK HIGH SCHOOL                        7666
  HACKENSACK MIDDLE SCHOOL                      7669
  HILLERS ELEMENTARY SCHOOL                     7668
  JACKSON AVENUE ELEM SCHOOL                    7691
  PARKER ELEMENTARY SCHOOL                      7667

HACKETTSTOWN SCHOOL DISTRICT                  123064
  HACKETTSTOWN HIGH SCHOOL                      8157
  HACKETTSTOWN MIDDLE SCHOOL                    8156
  HATCHERY HILL ELEM SCHOOL                     8153
  WILLOW GROVE ELEMENTARY SCHOOL                8155

HADDON HEIGHTS SCHOOL DISTRICT                123200
  ATLANTIC AVE ELEMENTARY SCHOOL                8529
  GLENVIEW AVE ELEMENTARY SCHOOL                8527
  HADDON HEIGHTS JR & SR HIGH                   8531
  SEVENTH AVE ELEMENTARY SCHOOL                 8532

HADDON TOWNSHIP SCHOOL DISTRICT               123330
  EDISON ELEMENTARY SCHOOL                      8886
  HADDON TWP HIGH SCHOOL                        8879
  JENNINGS ELEMENTARY SCHOOL                    8877
  STOY SCHOOL                                   8515
  STRAWBRIDGE ELEMENTARY SCHOOL                 8884
  VAN SCIVER ELEMENTARY SCHOOL                  8516

HADDONFIELD BOROUGH SCHOOL DISTRICT           123196
  CENTRAL ELEMENTARY SCHOOL                     8510
  ELIZABETH HADDON ELEM SCHOOL                  8514
  HADDONFIELD MEMORIAL HIGH SCH                 8508
  HADDONFIELD MIDDLE SCHOOL                     8511
  J FITHIAN TATEM ELEM SCHOOL                   8507

HAINESPORT TWP SCHOOL DISTRICT                 123201
  HAINESPORT ELEMENTARY SCHOOL                  8533

HALEDON SCHOOL DISTRICT                       122874
  HALEDON ELEMENTARY SCHOOL                     7630

HAMBURG SCHOOL DISTRICT                       122819
  HAMBURG ELEMENTARY SCHOOL                     7440

HAMILTON TOWNSHIP SCHOOL DIST                 123402
  DAVIES MIDDLE SCHOOL                          9068
  HESS ELEMENTARY SCHOOL                        9065
  SHANER MEMORIAL ELEM SCHOOL                   9062
  ALEXANDER ELEMENTARY SCHOOL                   9365
  CROCKETT MIDDLE SCHOOL                        9373
  GREENWOOD ELEMENTARY SCHOOL                   9257
  GRICE MIDDLE SCHOOL                           9262
  HAMILTON N-NOTTINGHAM HIGH SCH                9311
  HAMILTON WEST                                 9269
  KISTHARDT ELEMENTARY SCHOOL                   9267
  KLOCKNER ELEMENTARY SCHOOL                    9309
  KUSER ELEMENTARY SCHOOL                       9326
  LALOR ELEMENTARY SCHOOL                       9273
  LANGTREE ELEMENTARY SCHOOL                    9369
  MCGALLIARD ELEMENTARY SCHOOL                  9266
  MERCERVILLE ELEMENTARY SCHOOL                 9307
  MORGAN ELEMENTARY SCHOOL                      9306
  REYNOLDS MIDDLE SCHOOL                        9366
  ROBINSON ELEMENTARY SCHOOL                    9263
  SAYEN ELEMENTARY SCHOOL                       9367
  SUNNYBRAE ELEMENTARY SCHOOL                   9312
  UNIVERSITY HEIGHTS ELEM SCHOOL                9305
  WILSON ELEMENTARY SCHOOL                      9261
  YARDVILLE ELEMENTARY SCHOOL                   9313
  YARDVILLE HEIGHTS ELEM SCHOOL                 9314

HAMMONTON SCHOOL DISTRICT                     123202
  HAMMONTON MIDDLE SCHOOL                       8535
  HAMMONTON SR HIGH SCHOOL                      8536
  WARREN E SOY JR ELENENTARY                    8541

HAMPTON SCHOOL DISTRICT                       123526
  HAMPTON ELEMENTARY SCHOOL                     9573

HAMPTON TWP SCHOOL DISTRICT                   123082
  MARIAN MCKEOWN ELEM SCHOOL                    8189

HANOVER PARK REG HIGH SCH DIST                123135
  HANOVER PARK HIGH SCHOOL                      8310
  WHIPPANY PARK HIGH SCHOOL                     8375

HANOVER TOWNSHIP SCHOOL DIST                  123152
  BEE MEADOW ELEMENTARY SCHOOL                  8371
  MEMORIAL JUNIOR SCHOOL                        8372
  MOUNTVIEW ROAD ELEM SCHOOL                    8331
  SALEM DRIVE ELEMENTARY SCHOOL                 8370

HARDING TOWNSHIP SCHOOL DIST                  123149
  HARDING TOWNSHIP ELEM SCHOOL                  8362

HARDYSTON TWP SCHOOL DISTRICT                 122814
  HARDYSTON TOWNSHIP ELEM SCHOOL                7432

HARMONY TOWNSHIP SCHOOL DIST                  123563
  HARMONY TOWNSHIP ELEM SCHOOL                  9707

HARRINGTON PARK SCHOOL DIST                   122914
  HARRINGTON PARK ELEM SCHOOL                   7745

HARRISON SCHOOL DISTRICT                      122681
  HARRISON HIGH SCHOOL                          6625
  LINCOLN ELEMENTARY SCHOOL 03                  6628
  WASHINGTON SCHOOL                             6627

HARRISON TWP SCHOOL DISTRICT                  123241
  HARRISON TOWNSHIP ELEM SCHOOL                 8650

HASBROUCK HEIGHTS SCHOOL DIST                 122889
  EUCLID ELEMENTARY SCHOOL                      7684
  HASBROUCK HGTS JR-SR HIGH SCH                 7683
  LINCOLN ELEMENTARY SCHOOL                     7682

HAWORTH SCHOOL DISTRICT                       122916
  HAWORTH PUBLIC ELEM SCHOOL                    7746

HAWTHORNE BOARD OF EDUCATION                  122873
  HAWTHORNE HIGH SCHOOL                         7623
  JEFFERSON ELEM SCHOOL                         7624
  LINCOLN MIDDLE SCHOOL                         7626
  ROOSEVELT ELEMENTARY SCHOOL                   7625
  WASHINGTON ELEMENTARY SCHOOL                  7629

HAZLET TWP SCHOOL DISTRICT                    123000
  BEERS STREET MIDDLE SCHOOL                    7971
  COVE ROAD ELEMENTARY SCHOOL                   7975
  LILLIAN DRIVE ELEM SCHOOL                     7981
  MIDDLE ROAD ELEMENTARY SCHOOL                 7977
  RARITAN HIGH SCHOOL                           7978
  RARITAN VALLEY ELEM SCHOOL                    7970
  SYCAMORE DRIVE ELEM SCHOOL                    7973
  UNION AVE MIDDLE SCHOOL                       7979

HENRY HUDSON REG SCHOOL DIST                  123003
  HENRY HUDSON REG HIGH SCHOOL                  7997

HIGH BRIDGE SCHOOL DISTRICT                   123528
  HIGH BRIDGE ELEM SCHOOL                       9575
  HIGH BRIDGE MIDDLE SCHOOL                     9576

HIGH POINT REG H S DISTRICT                   122852
  HIGH POINT REG HIGH SCHOOL                    7536

HIGHLAND PARK PUBLIC SCH DIST                 123591
  BARTLE SCHOOL                                 9809
  HIGHLAND PARK HIGH SCHOOL                     9810
  IRVING PRIMARY SCHOOL                         9811

HIGHLANDS SCHOOL DISTRICT                     123002
  HIGHLANDS ELEMENTARY SCHOOL                   7994

HILLSBOROUGH SCHOOL DIST                      123549
  AMSTERDAM ELEMENTARY SCHOOL                   9149
  HILLSBOROUGH ELEMENTARY SCHOOL                9147
  HILLSBOROUGH HIGH SCHOOL                      9148
  HILLSBOROUGH MIDDLE SCHOOL                    9749
  SUNNYMEAD ELEMENTARY SCHOOL                   9747
  TRIANGLE ELEMENTARY SCHOOL                    9748
  WOODFERN ELEMENTARY SCHOOL                    9631
  WOODS ROAD ELEMENTARY SCHOOL                  9150

HILLSDALE SCHOOL DISTRICT                     122918
  ANN BLANCHE SMITH ELEM SCHOOL                 7750
  GEORGE G WHITE MIDDLE SCHOOL                  7753
  MEADOWBROOK ELEMENTARY SCHOOL                 7751

HILLSIDE SCHOOL DISTRICT                      122795
  CALVIN COOLIDGE ELEM SCHOOL                   7279
  GEORGE WASHINGTON ELEM SCHOOL                 7277
  HILLSIDE HIGH SCHOOL                          7283
  HURDEN LOOKER ELEM SCHOOL                     7282
  MORRIS SAYBROOK ELEM SCHOOL                   7284
  WALTER O KRUMBIEGEL MID SCHOOL                7280

HO HO KUS SCHOOL DISTRICT                     122820
  HO HO KUS ELEMENTARY SCHOOL                   7447

HOBOKEN SCHOOL DISTRICT                       122684
  BRANDT ELEMENTARY SCHOOL 2                    6639
  CALABRO ELEMENTARY SCHOOL                     6637
  DEMAREST ELEMENTARY SCHOOL                    6636
  HOBOKEN HIGH SCHOOL                           6630
  THOMAS CONNORS MEM ELEM SCH 9                 6631
  WALLACE ELEMENTARY SCHOOL 6                   6633

HOLLAND TOWNSHIP SCHOOL DIST                  123543
  HOLLAND TOWNSHIP ELEM SCHOOL                  9620

HOLMDEL TOWNSHIP SCHOOL DIST                  123004
  HOLMDEL HIGH SCHOOL                           8003
  INDIAN HILL ELEMENTARY SCHOOL                 7999
  VILLAGE ELEMENTARY SCHOOL                     8005
  WILLIAM R SATZ SCHOOL                         8004

HOPATCONG SCHOOL DISTRICT                     123068
  DURBAN AVE ELEMENTARY SCHOOL                  8159
  HOPATCONG HIGH SCHOOL                         8160
  HOPATCONG MIDDLE SCHOOL                       8161
  HUDSON MAXIM ELEMENTARY SCHOOL                8162
  TULSA TRAIL ELEMENTARY SCHOOL                 8163

HOPE TOWNSHIP SCHOOL DISTRICT                 123069
  HOPE TOWNSHIP SCHOOL                          8164

HOPEWELL TOWNSHIP SCHOOL DIST                 123384
  HOPEWELL CREST ELEM SCHOOL                    9033

HOPEWELL VALLEY REG SCH DIST                  123440
  BEAR TAVERN ELEMENTARY SCHOOL                 9245
  CENTRAL HIGH SCHOOL                           9200
  HOPEWELL ELEMENTARY SCHOOL                    9176
  TIMBERLANE MIDDLE SCHOOL                      9199
  TOLLGATE GRAMMAR SCHOOL                       9201

HOWELL TOWNSHIP SCHOOL DIST                   123001
  ALDRICH ELEMENTARY SCHOOL                     7985
  ARDENA ELEMENTARY SCHOOL                      7951
  GRIEBLING ELEMENTARY SCHOOL                   7952
  LAND O' PINES ELEMENTARY SCH                  7992
  NEWBURY ELEMENTARY SCHOOL                     7984
  RAMTOWN ELEMENTARY SCHOOL                     7990
  SOUTHARD ELEMENTARY SCHOOL                    7987
  TAUNTON ELEMENTARY SCHOOL                     7986

HUNTERDON CO OFC OF EDUCATION                 123516
  THE JESUS SCHOOL                              9191

HUNTERDON CTL REG HGH SCH DIST                123517
  HUNTERDON CTL REG HIGH SCHOOL                 9556

IRVINGTON PUBLIC SCHOOLS                      122788
  AUGUSTA STREET ELEMENTARY SCH                 7209
  BERKELEY TERRACE ELEM SCHOOL                  7210
  CHANCELLOR AVENUE ELEM SCHOOL                 7202
  FLORENCE ELEMENTARY SCHOOL                    7200
  GROVE STREET ELEMENTARY SCHOOL                7214
  IRVINGTON HIGH SCHOOL                         7203
  MADISON AVE ELEMENTARY SCHOOL                 7201
  MOUNT VERNON AVENUE SCHOOL                    7207
  MYRTLE AVENUE MIDDLE SCHOOL                   7204
  THURGOOD MARSHALL ELEM SCHOOL                 7212
  UNION AVENUE MIDDLE SCHOOL                    7206

ISLAND HEIGHTS SCHOOL DISTRICT                123476
  ISLAND HEIGHTS ELEM SCHOOL                    9423

JACKSON TWP SCHOOL DISTRICT                   123433
  CARL GOETZ MIDDLE SCHOOL                      9186
  CHRISTA MCAULIFFE MIDDLE SCH                  9178
  HOLMAN ELEMENTARY SCHOOL                      9183
  JACKSON MEMORIAL HIGH SCHOOL                  9185
  JOHNSON ELEMENTARY SCHOOL                     9180
