<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  FRANKLIN ELEMENTARY SCHOOL                    7701
  HOOVER ELEMENTARY SCHOOL                      7707
  JEFFERSON ELEMENTARY SCHOOL                   7702
  LINCOLN ELEMENTARY SCHOOL                     7706
  WASHINGTON ELEMENTARY SCHOOL                  7699

BERKELEY HEIGHTS PUBLIC SCHS                  123118
  COLUMBIA MIDDLE SCHOOL                        8274
  HUGHES SCHOOL                                 8276
  MOUNTAIN PARK ELEM SCHOOL                     8275
  WOODRUFF ELEM SCHOOL                          8273

BERKELEY TOWNSHIP SCHOOL DIST                 123472
  BAYVILLE ELEMENTARY SCHOOL                    9395
  POTTER ELEMENTARY SCH                         9396
  WORTH ELEMENTARY SCH                          9398

BERLIN BOROUGH SCHOOL DISTRICT                123164
  BERLIN COMMUNITY SCHOOL                       8419

BERLIN TOWNSHIP SCH DISTRICT                  123306
  EISENHOWER MEM SCHOOL                         8787
  KENNEDY MEMORIAL SCHOOL                       8788

BERNARDS TOWNSHIP SCHOOL DIST                 123115
  ANNIN MIDDLE SCHOOL                           8271
  CEDAR HILL SCHOOL                             8269
  LIBERTY CORNER ELEM SCHOOL                    8313
  OAK STREET ELEMENTARY SCHOOL                  8270
  RIDGE HIGH SCHOOL                             8265

BETHLEHEM TWP SCHOOL DISTRICT                 123498
  CONLEY ELEM SCHOOL                            9482
  HOPPOCK MIDDLE SCHOOL                         9481

BEVERLY CITY SCHOOL DISTRICT                  123166
  BEVERLY ELEMENTARY SCHOOL                     8421

BLACK HORSE PIKE REG SCH DIST                 123169
  HIGHLAND HIGH SCHOOL                          8435
  TRITON HIGH SCHOOL                            8723

BLAIRSTOWN TWP SCHOOL DISTRICT                123050
  BLAIRSTOWN ELEMENTARY SCHOOL                  8129

BLOOMFIELD SCHOOL DISTRICT                    122640
  BERKELEY ELEMENTARY SCHOOL                    6479
  BLOOMFIELD HIGH SCHOOL                        6470
  BLOOMFIELD MIDDLE SCHOOL                      6475
  BROOKDALE ELEMENTARY SCHOOL                   6471
  CARTERET ELEMENTARY SCHOOL                    6482
  DEMAREST ELEMENTARY SCHOOL                    6476
  FAIRVIEW ELEMENTARY SCHOOL                    6481
  FOREST GLEN ELEMENTARY SCHOOL                 6483
  FRANKLIN ELEMENTARY SCHOOL                    6474
  OAK VIEW ELEMENTARY SCHOOL                    6478
  WATSESSING ELEMENTARY SCHOOL                  6472

BLOOMINGDALE SCHOOL DISTRICT                  122803
  BERGEN MIDDLE SCHOOL                          7399
  DAY ELEMENTARY SCHOOL                         7400
  DONALD ELEM SCHOOL                            7401

BLOOMSBURY SCHOOL DISTRICT                    123499
  BLOOMSBURY ELEM SCHOOL                        9483

BOGOTA PUBLIC SCHOOL DISTRICT                 122888
  BIXBY ELEM SCHOOL                             7677
  BOGOTA HIGH SCHOOL                            7678
  STEEN ELEMENTARY SCHOOL                       7679

BOONTON SCHOOL DISTRICT                       122644
  BOONTON HIGH SCHOOL                           6490
  JOHN HILL MIDDLE SCHOOL                       6491
  SCHOOL STREET ELEMENTARY SCH                  6489

BOONTON TWP SCHOOL DISTRICT                   122645
  ROCKAWAY VALLEY SCHOOL                        6492

BORDENTOWN REGIONAL SCH DIST                  123425
  BARTON ELEMENTARY SCHOOL                      9152
  BORDENTOWN REG HIGH SCHOOL                    9157
  MACFARLAND JUNIOR SCHOOL                      9153
  MUSCHAL ELEMENTARY SCH                        9156

BOUND BROOK SCHOOL DISTRICT                   123501
  BOUND BROOK HIGH SCHOOL                       9488
  LA MONTE ELEMENTARY SCHOOL                    9485
  LAFAYETTE ELEMENTARY SCHOOL                   9491
  SMALLEY ELEMENTARY SCHOOL                     9486

BRADLEY BEACH SCHOOL DISTRICT                 122981
  BRADLEY BEACH ELEMENTARY SCH                  7922

BRANCHBURG TOWNSHIP SCH DIST                  123577
  CENTRAL MIDDLE SCHOOL                         9745
